id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end
230705-135728-7475-neat-join,0.1,5.0,0.8827341400837391,0.2057207016583898,0.2046329727374449,1688561848.748584,1688570382.418385
230705-140437-1990-keen-boat,0.1,5.25,0.8827341400837391,0.2052468845495323,0.2045379775061951,1688562277.199372,1688569933.360227
230705-133311-1508-mild-hand,0.1,4.0,0.8827341400837391,0.2076385647516418,0.205906619185315,1688560391.151189,1688569388.81622
230705-133551-8860-sour-home,0.1,4.5,0.8827341400837391,0.2066694330101284,0.2056383900348136,1688560551.886517,1688568139.681448
230705-162122-0263-rash-post,0.1,5.5,0.8827341400837391,0.2056916572676616,0.2056133628832901,1688570482.133897,1688580810.646336
230705-133305-3391-safe-dear,0.05,11.0,0.8827341400837391,0.194918353743427,0.1958399932772104,1688560385.339541,1688580341.990338
230705-133307-4736-easy-farm,0.05,9.5,0.8827341400837391,0.1986569468540363,0.2034451605449671,1688560387.474183,1688580299.482652
230705-133310-4339-mild-hurt,0.05,8.0,0.8827341400837391,0.1969390665117857,0.2029619785827429,1688560390.434304,1688579133.016828
230705-133312-6119-torn-sell,0.05,7.5,0.8827341400837391,0.1977383454290373,0.1988319927949205,1688560392.612756,1688579032.399597
230705-133309-4972-kind-bill,0.05,6.25,0.8827341400837391,0.2051206659128643,0.2057497161419141,1688560389.497758,1688578512.15089
230705-133308-1615-open-hold,0.05,6.75,0.8827341400837391,0.2049667836219204,0.2066362677371244,1688560388.161962,1688578406.018941
230705-133334-0841-idle-kill,0.05,6.0,0.8827341400837391,0.2067400819890562,0.2056671345013201,1688560414.084773,1688577069.423759
230705-133331-9815-idle-kill,0.05,5.75,0.8827341400837391,0.2067387560299808,0.2056670300417401,1688560411.982461,1688577021.813869
230705-133253-6232-fair-dirt,0.1,3.0,0.8827341400837391,0.2076385647516418,0.205906619185315,1688560373.623686,1688573884.545633
230705-133252-3830-slow-dish,0.05,15.0,0.8827341400837391,0.2024872645734266,0.2111362455030026,1688560372.383507,1688573192.561198
230705-133253-0951-vain-blow,0.05,14.0,0.8827341400837391,0.1955486627586494,0.1974984780361712,1688560373.095535,1688573178.508475
230705-133214-0348-dull-gate,0.05,2.5,0.8827341400837391,0.2076385647516406,0.2059066191853155,1688560334.035749,1688573093.374843
230705-133253-2083-best-wood,0.1,2.5,0.8827341400837391,0.2076385647516418,0.205906619185315,1688560373.209115,1688572769.596994
