id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230216-095554-3919-even-back,1.4940631619563447,13.868313071857107,0.0005248229994871,0.0144392214803937,0.2389988359387691,1676541354.406732,1676563319.015103,random
230216-064327-5617-each-kiss,1.95228503019964,10.35622135277344,0.0443849284759391,0.0981527723114664,0.1168677160782346,1676529807.562682,1676544929.273222,random
230216-050819-3723-sour-stay,0.8805431607233953,14.0954306936949,0.0109394132286653,0.0164450288848514,0.0837345171056533,1676524099.37396,1676542753.79246,random
230216-084716-2092-last-boot,0.1284478553787455,13.991088707136964,0.0228175178493786,0.0024906074107029,0.071253416650847,1676537236.222267,1676555312.958849,random
230216-083550-2205-pure-file,1.94058129176072,8.737509490721047,0.0074407098812435,0.0576707442726128,0.0867627213948216,1676536550.223156,1676554408.718528,random
230216-084956-8293-rosy-nose,1.2512706331042085,11.027279172750092,0.0005177774478631,0.0057466149474813,0.1436941986109571,1676537396.850339,1676553389.948535,random
230216-074027-5614-ugly-help,1.3190455481476957,12.364413983425871,0.0002342254645359,0.0041091172336003,0.2210829416310347,1676533227.562387,1676549975.594599,random
230216-095501-2905-able-side,0.3705700234032196,11.16632342309856,0.0692840095051847,0.0076771944991386,0.0536564258160228,1676541301.291474,1676561377.579053,random
230216-110515-8196-fine-love,1.877125466859205,2.4210663051642864,0.9497467157031858,0.1238660111421149,0.1250685574256218,1676545515.820378,1676557795.986928,random
230216-160603-6101-taut-area,0.7730723724329507,12.770382458430824,0.0412979695762769,0.0228087299221017,0.0647101608413965,1676563563.618372,1676587099.205916,random
230216-135309-4228-rich-pack,0.6723549846361506,6.243864975254644,0.0006580806158064,0.0006175407494597,0.0497023670592249,1676555589.432288,1676569762.395679,random
230216-135353-1665-arid-burn,0.7824877891551866,3.1307188070895595,0.0337436466155123,0.0372593302870532,0.052499793493374,1676555633.184871,1676569313.690919,random
230216-124340-2408-true-trip,0.6908568862500826,12.11986802185795,0.0001339252206124,0.0001136680513588,0.1111250747089227,1676551420.254224,1676568518.559701,random
230216-175231-0099-calm-gate,0.5717812317457157,13.81892408821416,0.0517154457824473,0.0195390830800873,0.0667889117900069,1676569951.01076,1676586885.7645,random
230216-160641-1663-able-edge,1.981255570282843,12.15642976566314,0.4508470015385665,0.1577021140804616,0.1666224356059882,1676563601.174039,1676586576.953634,random
230216-160601-2677-dark-room,0.1950452284585554,7.235551271551532,0.0068248912285059,0.0003641074360462,0.0386784659256977,1676563561.268809,1676583482.424904,random
230216-175234-2787-wiry-bank,0.8915919416779804,5.363254288389357,0.0524965337742818,0.0239894220365658,0.0419656735921042,1676569954.279506,1676582581.234282,random
230216-175302-5000-calm-bite,0.6285722440923074,3.5090693520000404,0.0174094961691106,0.0201723473294311,0.0520914278673861,1676569982.502625,1676582317.985642,random
230216-145424-9706-grim-pool,0.212766074790957,2.89605084163938,0.0008642605413111,0.0323364476748776,0.1152013558417767,1676559264.984229,1676572953.45879,random
