soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
12.0,0.4,0.8431682747262083,7,0.06871773405708134,0.2590313257148863
12.0,0.4,0.8431682747262083,15,0.11986462586948836,0.25380767576003904
12.0,0.4,0.8431682747262083,31,0.15005834711348623,0.24441903932892836
12.0,0.4,0.8431682747262083,62,0.16569392151160411,0.22732550164826373
12.0,0.4,0.8431682747262083,125,0.16714615343225617,0.2128573521459356
12.0,0.4,0.8431682747262083,250,0.15450143629281457,0.19943383136625253
12.0,0.4,0.8431682747262083,500,0.1500905586680477,0.18288283784777393
12.0,0.4,0.8431682747262083,1000,0.1459995919822754,0.1708341762273214
12.0,0.4,0.8431682747262083,2000,0.1414106071323776,0.161930064015609
12.0,0.4,0.8431682747262083,4000,0.13664074860090755,0.15742320989591946
12.0,0.4,0.8431682747262083,8000,0.13266654137556977,0.15481967313752212
12.0,0.4,0.8431682747262083,16000,0.12882857262832398,0.1543940394336753
12.0,0.4,0.8431682747262083,32000,
