soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.5,0.35,0.1732385328767658,7,0.0098609752661145,0.2513629496653324
9.5,0.35,0.1732385328767658,15,0.0131874924895411,0.238642090346208
9.5,0.35,0.1732385328767658,31,0.0162580695939428,0.1952048355012919
9.5,0.35,0.1732385328767658,62,0.0189506950759477,0.1640522200858233
9.5,0.35,0.1732385328767658,125,0.0212231486449614,0.1308762602320392
9.5,0.35,0.1732385328767658,250,0.0224983159631512,0.1066996573691163
9.5,0.35,0.1732385328767658,500,0.0249647367965442,0.0948452117978515
9.5,0.35,0.1732385328767658,1000,0.0270697192204097,0.080615091313716
9.5,0.35,0.1732385328767658,2000,0.0271059152779612,0.0727681858375393
9.5,0.35,0.1732385328767658,4000,0.0273867921050931,0.069586891896345
9.5,0.35,0.1732385328767658,8000,0.0278718664806012,0.0681722611704044
9.5,0.35,0.1732385328767658,16000,0.0269955057182993,0.0657355449458186
9.5,0.35,0.1732385328767658,32000,0.0251877805901183,0.0653108248616572
