soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
12.0,0.4,0.8431682747262083,7,0.0660268423578084,0.2578755120525725
12.0,0.4,0.8431682747262083,15,0.115982060110439,0.2535000412591698
12.0,0.4,0.8431682747262083,31,0.144418189177565,0.2441595845639002
12.0,0.4,0.8431682747262083,62,0.1590184981795384,0.2258892064500444
12.0,0.4,0.8431682747262083,125,0.1596839298168476,0.2115124131483719
12.0,0.4,0.8431682747262083,250,0.1470761967485249,0.1974499529796325
12.0,0.4,0.8431682747262083,500,0.1428803325810382,0.1794632018718566
12.0,0.4,0.8431682747262083,1000,0.139392111552689,0.167381331557059
12.0,0.4,0.8431682747262083,2000,0.1350375099145808,0.1585691939758913
12.0,0.4,0.8431682747262083,4000,0.1305390378028711,0.1542469037872962
12.0,0.4,0.8431682747262083,8000,0.1270716578876833,0.151987466886291
12.0,0.4,0.8431682747262083,16000,0.1231266923430346,0.1509761862030111
12.0,0.4,0.8431682747262083,32000,0.119079845436506,0.1501941495317673
