soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
7.25,0.3,0.0924542380716536,7,0.0022353886236085316,0.24916944587108186
7.25,0.3,0.0924542380716536,15,0.0023006967369102018,0.21544901036597924
7.25,0.3,0.0924542380716536,31,0.003264070879822875,0.16249798839931429
7.25,0.3,0.0924542380716536,62,0.0043144987577173645,0.12260050452528445
7.25,0.3,0.0924542380716536,125,0.005613598544012289,0.10716796176146774
7.25,0.3,0.0924542380716536,250,0.006696697134498959,0.08722391684699658
7.25,0.3,0.0924542380716536,500,0.008543503820634762,0.07301102768338115
7.25,0.3,0.0924542380716536,1000,0.010005549855467236,0.06600500453979144
7.25,0.3,0.0924542380716536,2000,0.011151556545985286,0.061376069551932644
7.25,0.3,0.0924542380716536,4000,0.012027483198977016,0.0567579115980701
7.25,0.3,0.0924542380716536,8000,0.012260480962890275,0.05448559578133305
7.25,0.3,0.0924542380716536,16000,0.012062058719505109,0.054339615131627474
7.25,0.3,0.0924542380716536,32000,
