soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.5,0.35,0.1732385328767658,7,0.02142417396148561,0.2665362488680164
9.5,0.35,0.1732385328767658,15,0.031715499790506356,0.2518207201294042
9.5,0.35,0.1732385328767658,31,0.04118823729627592,0.2237748201600575
9.5,0.35,0.1732385328767658,62,0.046014158976749306,0.18024934703931464
9.5,0.35,0.1732385328767658,125,0.05249974448523803,0.14584337416479304
9.5,0.35,0.1732385328767658,250,0.05251379916235521,0.11678176881586459
9.5,0.35,0.1732385328767658,500,0.05201456572143962,0.10596173891390918
9.5,0.35,0.1732385328767658,1000,0.05330485037219139,0.09435181658501735
9.5,0.35,0.1732385328767658,2000,0.05349121025508975,0.08740870199273991
9.5,0.35,0.1732385328767658,4000,0.052831103302854975,0.08345688619508577
9.5,0.35,0.1732385328767658,8000,0.05224280570940265,0.07985941185437102
9.5,0.35,0.1732385328767658,16000,0.05072407249157072,0.07874631625035489
