soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.5,0.35,0.1732385328767658,7,0.016181735253519985,0.2606268708756873
9.5,0.35,0.1732385328767658,15,0.019186032458895608,0.24771539341883747
9.5,0.35,0.1732385328767658,31,0.025309687860250295,0.20087513530384404
9.5,0.35,0.1732385328767658,62,0.03110154300882926,0.16341575660253227
9.5,0.35,0.1732385328767658,125,0.03354396777990026,0.12820425175195296
9.5,0.35,0.1732385328767658,250,0.03366963928758443,0.10553140595721597
9.5,0.35,0.1732385328767658,500,0.03611261847884504,0.09374396488430752
9.5,0.35,0.1732385328767658,1000,0.037832826130237245,0.08300332641437762
9.5,0.35,0.1732385328767658,2000,0.037386089520168,0.07745384172705456
9.5,0.35,0.1732385328767658,4000,0.03714585445731821,0.07441338020630622
9.5,0.35,0.1732385328767658,8000,0.037063948277066175,0.07263419086312373
9.5,0.35,0.1732385328767658,16000,0.03570780845510563,0.07002228669082303
