soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.0,0.20,0.20,7,0.028217390995347286,0.27545030188612807
9.0,0.20,0.20,15,0.046996896190913365,0.25403663615609806
9.0,0.20,0.20,31,0.06449954176534436,0.1840367036463836
9.0,0.20,0.20,62,0.07156207001056762,0.1697916892165772
9.0,0.20,0.20,125,0.09685190575319813,0.1704984872890502
9.0,0.20,0.20,250,0.09467401542603966,0.1709916633724363
9.0,0.20,0.20,500,0.10727744867512383,0.16083786347706738
9.0,0.20,0.20,1000,0.10970662683230488,0.15902641672966242
9.0,0.20,0.20,2000,0.10779231317487499,0.1517193252796229
9.0,0.20,0.20,4000,0.1043068815825132,0.1468733628435955
9.0,0.20,0.20,8000,0.10184387243775399,0.14314208544157592
9.0,0.20,0.20,16000,0.09828867592974808,0.13920440243955107
9.0,0.20,0.20,32000,0.09523666426308361,0.1375520224374712
