soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
13.5,0.8,0.2,7,0.00639215624993965,0.26061051568788635
13.5,0.8,0.2,15,0.011360889151874009,0.25494224752755573
13.5,0.8,0.2,31,0.013924586921128402,0.20207632018380034
13.5,0.8,0.2,62,0.019907799166751467,0.1953264837029874
13.5,0.8,0.2,125,0.03314286986956141,0.20410302174306186
13.5,0.8,0.2,250,0.05756890872601302,0.1852889898659632
13.5,0.8,0.2,500,0.057943092354592586,0.16334570216799355
13.5,0.8,0.2,1000,0.06984165300866106,0.1524410270721869
13.5,0.8,0.2,2000,0.0728792291241919,0.13859662636153022
13.5,0.8,0.2,4000,0.0713917809108997,0.13491949228420194
13.5,0.8,0.2,8000,0.07131452156160172,0.13392439726953045
13.5,0.8,0.2,16000,0.06741345682824519,0.13380216843445408
13.5,0.8,0.2,32000,0.0653198236466603,0.13270412756250557
