soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
13.5,0.8,0.2,7,0.01803595350646994,0.2959802988132874
13.5,0.8,0.2,15,0.043323237632742984,0.27754672810397757
13.5,0.8,0.2,31,0.048071986110018845,0.2132700181059735
13.5,0.8,0.2,62,0.06816378631150218,0.20175931019532528
13.5,0.8,0.2,125,0.08598121634154884,0.20316740240191491
13.5,0.8,0.2,250,0.10787313855304159,0.18240117642784032
13.5,0.8,0.2,500,0.11820240381387567,0.18114591519701978
13.5,0.8,0.2,1000,0.12010433824422981,0.16784829216432176
13.5,0.8,0.2,2000,0.11863043203532286,0.15957473291916932
13.5,0.8,0.2,4000,0.11500441565926414,0.16233282338885685
13.5,0.8,0.2,8000,0.11435126485037758,0.16147409055706824
13.5,0.8,0.2,16000,0.11028610075504637,0.1642818965526816
13.5,0.8,0.2,32000,0.10777753552834982,0.16473709652819318
