soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
6.75,0.5,0.2,7,0.01004427142697816,0.19588009052730848
6.75,0.5,0.2,15,0.012193009674856568,0.21060351187319273
6.75,0.5,0.2,31,0.015999060656696512,0.1746324508401417
6.75,0.5,0.2,62,0.020591430964662368,0.1378932294353539
6.75,0.5,0.2,125,0.022503061897652568,0.12685491373613794
6.75,0.5,0.2,250,0.02333609248429478,0.09455224917053887
6.75,0.5,0.2,500,0.02404105792509626,0.0810805154950948
6.75,0.5,0.2,1000,0.02354161961865174,0.07746956077006775
6.75,0.5,0.2,2000,0.024176737844656033,0.06949860954924215
6.75,0.5,0.2,4000,0.023336970837734415,0.06322850844758507
6.75,0.5,0.2,8000,0.022771227449912418,0.06039267712131748
6.75,0.5,0.2,16000,0.021919099598580592,0.05771323148285616
6.75,0.5,0.2,32000,0.020497034505285235,0.056541196744440615
