soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
6.75,0.5,0.2,7,0.014752554799230034,0.21724166197203482
6.75,0.5,0.2,15,0.021717413631659535,0.22609328534528728
6.75,0.5,0.2,31,0.024931832892212968,0.20082016931166224
6.75,0.5,0.2,62,0.03084473006274992,0.161070177674215
6.75,0.5,0.2,125,0.03354074325027652,0.1591458523411155
6.75,0.5,0.2,250,0.03500038927310026,0.12286373461420856
6.75,0.5,0.2,500,0.03633175407341952,0.10397643806310324
6.75,0.5,0.2,1000,0.03733686039794269,0.09375189105216293
6.75,0.5,0.2,2000,0.03685171719071155,0.08710978618792098
6.75,0.5,0.2,4000,0.03496193259046806,0.0829645759776956
6.75,0.5,0.2,8000,0.03351274894428269,0.07791335926205892
6.75,0.5,0.2,16000,0.032256990270907705,0.07493139625622194
6.75,0.5,0.2,32000,0.03062844980484907,0.0720930282265773
