soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
13.5,0.8,0.2,7,0.01227233328428749,0.2889480061996266
13.5,0.8,0.2,15,0.026611756880652964,0.28143099959949425
13.5,0.8,0.2,31,0.035336056585366496,0.21719353465416247
13.5,0.8,0.2,62,0.04931654031463609,0.20129600196372133
13.5,0.8,0.2,125,0.06585792200869732,0.20216766637759614
13.5,0.8,0.2,250,0.09015800656021213,0.18280791725427195
13.5,0.8,0.2,500,0.09554933211593948,0.17547134508195003
13.5,0.8,0.2,1000,0.10031980865294543,0.16245468619487577
13.5,0.8,0.2,2000,0.09961183114257458,0.15150946567374615
13.5,0.8,0.2,4000,0.0957317792984975,0.15100986316871948
13.5,0.8,0.2,8000,0.09385277710591136,0.14570139979132796
13.5,0.8,0.2,16000,0.08815750093876051,0.14389939495784218
13.5,0.8,0.2,32000,0.08552121047965891,0.14110689210096003
