soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.0,0.20,0.20,7,0.020196018331989547,0.2365577529503486
9.0,0.20,0.20,15,0.023741151434035185,0.19627177065106732
9.0,0.20,0.20,31,0.02872487740867367,0.1350976540240745
9.0,0.20,0.20,62,0.033995937015243984,0.12129872894706036
9.0,0.20,0.20,125,0.040413474635887923,0.11211694640772962
9.0,0.20,0.20,250,0.04139684856045309,0.09975664643323044
9.0,0.20,0.20,500,0.04201108011410151,0.08763954481085688
9.0,0.20,0.20,1000,0.04081104039036339,0.08505811679354011
9.0,0.20,0.20,2000,0.04157522084344662,0.08269136955844215
9.0,0.20,0.20,4000,0.04204203446752557,0.07649295756099388
9.0,0.20,0.20,8000,0.04164078032948779,0.07170995035416662
9.0,0.20,0.20,16000,0.03996952735457836,0.07015398867340739
9.0,0.20,0.20,32000,0.03794729304936361,0.06872820848324049
