soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.0,0.20,0.20,7,0.027569891880146396,0.27320291651964
9.0,0.20,0.20,15,0.04413594554876445,0.24782252381012074
9.0,0.20,0.20,31,0.057448276373223015,0.17687360560885096
9.0,0.20,0.20,62,0.061167294470735725,0.157078348686057
9.0,0.20,0.20,125,0.07212359446154885,0.14091643825982988
9.0,0.20,0.20,250,0.0664814731642776,0.13355878573698704
9.0,0.20,0.20,500,0.0640033527370828,0.11077359458701937
9.0,0.20,0.20,1000,0.059589070311747115,0.10072842519215279
9.0,0.20,0.20,2000,0.05852946003228575,0.09715270963051781
9.0,0.20,0.20,4000,0.057698108181266985,0.0921915561353368
9.0,0.20,0.20,8000,0.056745429032796044,0.08900670013208159
9.0,0.20,0.20,16000,0.054843225346703696,0.08689624889299506
9.0,0.20,0.20,32000,0.05277058746122711,0.08467514124542933
