id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230208-230929-7413-spry-city,1.436827824332298,8.289082638163704,0.0020121983783843,0.1128359190643844,0.2109673572049274,1675897769.742275,1675904518.577972,random
230208-230811-5962-kind-boss,0.6969876513920665,13.880991119333103,0.0036224731781771,0.0255031661120508,0.469034219183094,1675897691.597272,1675904497.809406,random
230209-010430-8859-kind-turn,1.7316093872510994,8.588208769835038,0.0389866727709968,0.1431383646211082,0.1703065331498345,1675904670.886805,1675908147.00674,random
230208-231800-0160-vain-suck,0.9325367094790538,13.380902468787202,0.0010134341063509,0.0223600770740525,0.6625420269199583,1675898280.01682,1675908013.782257,random
230208-231704-7284-limp-code,1.7214263359108923,10.976451086097727,0.0002012943654904,0.0597726369781772,0.4278435736129914,1675898224.729284,1675907910.757618,random
230208-231040-4704-true-meal,0.7550634104464709,14.198383949036591,0.0015608452039825,0.0193396897177019,0.6387237230339977,1675897840.472481,1675904677.687476,random
230208-232606-1634-fake-jury,1.5067626874701696,9.438655442882537,0.0003162466841801,0.0737729052484066,0.3705066821277645,1675898766.164123,1675910318.78528,random
230209-024047-6849-rude-club,1.6847717197172682,9.854869510554172,0.0017131630343795,0.1022713302150403,0.2188060656017733,1675910447.685772,1675913826.268657,random
230209-020033-0718-tart-wind,0.1120541825796754,2.8520100961965724,0.9932106075327704,0.2148016320733902,0.2139720766506455,1675908033.09318,1675911448.080428,random
230208-232740-2059-even-flow,0.985043431462678,8.542630382450522,0.4700192067388444,0.143715281737619,0.1672508414292115,1675898860.207179,1675911374.027367,random
230209-010622-0349-ripe-west,1.8869575592499293,2.312877491801293,0.0088943675074347,0.2148016320734553,0.2139720761812292,1675904782.035846,1675911251.526562,random
230209-020203-2846-wavy-harm,0.1534041116556486,2.8408913681235184,0.3079036199293962,0.2148016320733915,0.2139720766504064,1675908123.285747,1675911234.945436,random
230208-232654-8901-near-push,0.7014225123495685,14.672230345376455,0.0012695195377403,0.0161808710489691,0.6705821625550575,1675898814.891569,1675910790.6547,random
230208-232721-7696-bony-hate,0.526811511707842,9.569599626802814,0.0006047330103252,0.0406289669127454,0.9067112759224136,1675898841.771546,1675910585.014308,random
230208-232721-7021-arid-call,1.9411598077250527,2.170433078572138,0.0949026344425545,0.2148016320733932,0.2139720766485654,1675898841.703056,1675910579.807999,random
230209-033847-9915-real-poet,1.7674749481197498,4.807034692403891,0.0270933790161043,0.210557053733175,0.2108422021933161,1675913927.992419,1675917081.093687,random
230209-025945-6092-lazy-stop,0.2982339910089695,13.282286672164975,0.0052674897902261,0.0576699630554426,0.2722605257821712,1675911585.610207,1675915988.705067,random
230209-025535-3180-fake-cake,0.9729097706610238,10.235324138761268,0.0001247326056707,0.0209291285556738,1.2107324515739593,1675911335.318909,1675914616.283857,random
230209-024914-8384-wise-mode,0.2859660569699684,14.834330371278469,0.0024923472857971,0.0396514763615876,0.3274921178548443,1675910954.83941,1675914568.162876,random
230209-043303-1442-thin-risk,0.8695538381030653,2.44557747835387,0.019164392358184,0.2148016320743874,0.2139720766076089,1675917183.165143,1675920309.140825,random
230209-041448-3690-wild-life,0.4976870705202395,7.282189483170698,0.8431682747262083,0.1485129637536779,0.1621321712394346,1675916088.370113,1675919549.939382,random
230209-020817-1722-calm-sock,1.7117041006601024,14.816106994661494,0.0033504783029744,0.0933569509446758,0.3799804922291375,1675908497.174404,1675918811.309456,random
230209-025607-2720-drab-load,0.5832092926211361,8.415210586232824,0.0008587764690279,0.0780723515994094,0.5917244733424353,1675911367.273012,1675918569.732772,random
230209-035118-7791-meek-film,1.2874368312388134,13.722613098589562,0.1867964375229391,0.1290169612748242,0.1768903107424829,1675914678.780142,1675918547.318743,random
230209-024449-1897-huge-date,1.849354940388198,8.717160973678737,0.0008789483463295,0.1170202966221732,0.2005210640136446,1675910689.190598,1675918534.558696,random
230209-024448-9541-tall-crew,0.6358512258989519,14.023216231404836,0.0009050295039038,0.0143440808937439,0.7436359351003494,1675910688.955218,1675918529.933906,random
230209-052648-0769-aged-term,1.3173430904224577,12.489061286724894,0.0026011849984481,0.0621783325357302,0.3573281817422878,1675920408.078036,1675923683.766316,random
230209-050218-7063-tart-knee,1.8886990211939108,6.035940399263021,0.0002025589064507,0.181863712650124,0.2252499772298652,1675918938.707075,1675922099.021291,random
230209-035253-9470-mean-fuel,1.7411155760723342,14.003211613652532,0.0002693730556727,0.0583291229086341,0.6388330544852253,1675914773.948025,1675922057.536734,random
230209-045749-1073-some-fire,0.8399733087910132,4.3038124032098,0.2183152543154196,0.2137956819318741,0.2139367008088097,1675918669.108265,1675921784.836541,random
