id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230208-233018-5925-pale-diet,0.976041525151348,7.787108599583582,0.0152566204179779,0.0253589634528987,0.0868976456975002,1675899018.593436,1675904244.052179,random
230209-021257-0311-fond-wine,1.287336142114616,13.700396710361588,0.000215583507679,0.006542421176577,0.3508305928787498,1675908777.033052,1675928451.04728,random
230208-232810-8006-calm-long,1.82994450333228,9.062957558086168,0.0110815155612602,0.0649004644928448,0.1018124216317598,1675898890.801476,1675910191.183797,random
230209-011502-7235-good-move,1.0410310716909186,4.060261763288109,0.5076355770899154,0.0780221216896091,0.0806509565522934,1675905302.743189,1675909425.694037,random
230208-232857-8684-real-farm,0.8662223323272862,9.152144979052512,0.0001668398501966,0.0019487238584707,0.3494729986698107,1675898937.875991,1675909244.135152,random
230208-232811-2262-rude-text,0.5799076528273243,5.081255110095991,0.0016723789705416,0.0524418502222212,0.1565721757351378,1675898891.227102,1675909051.675309,random
230209-021933-4078-cool-pain,0.4434798177816972,1.848013212323902,0.5951728607344317,0.2148016320733901,0.2139720766506251,1675909173.408828,1675913544.958884,random
230209-023348-6406-bare-heat,1.6955669158008806,8.597244683638149,0.0384415677415142,0.0757565784372271,0.101478771067661,1675910028.641555,1675913387.802242,random
230209-022532-9524-fond-sign,1.8322059834030977,8.054554824145299,0.0792688970689533,0.0968240627499809,0.1138539136946405,1675909532.953239,1675912929.990766,random
230209-020602-8192-thin-shoe,0.6125278795598805,12.494210387949895,0.0018886175094967,0.002215131734893,0.1896548450819512,1675908362.820325,1675911761.538385,random
230208-232849-8466-dull-edge,1.1495322097086946,14.329988994223308,0.0001642862012866,0.003369177139242,0.534143230956283,1675898929.852149,1675911651.58345,random
230208-233022-1821-drab-rate,0.7301953159180301,6.439285275460135,0.0186168499876255,0.0335275154127477,0.0839059965494496,1675899022.183127,1675910623.352751,random
230209-033417-8589-thin-poet,1.652479954189247,13.435044469445431,0.0468710003604471,0.0947301423887958,0.1322633145050166,1675913657.860032,1675917032.728749,random
230209-022319-3798-neat-most,0.8168426635302641,9.169340172126738,0.0035944318937993,0.0088389100959033,0.1341321964943827,1675909399.380817,1675916202.611499,random
